Name;Episode;Step;Drag;RecircArea;lift
Simu_lift;0;0;0.00012333601;-1.5870069;-0.010097989
Simu_lift;0;0;0.00012333601;-1.5870069;-0.010097989
Simu_lift;0;100;0.0008136005;-0.11012339;0.00021384475
Simu_lift;0;200;0.0027416886;-0.1281478;0.0006053783
Simu_lift;0;300;0.0049630934;-0.14846842;0.00048409705
Simu_lift;0;400;0.007128927;-0.15554762;0.00042965138
Simu_lift;0;500;0.008866676;-0.15303649;0.0012378071
Simu_lift;0;600;0.011661251;-0.15129764;0.002327985
Simu_lift;0;700;0.013255384;-0.15022951;0.0028816042
Simu_lift;0;800;0.014468879;-0.14941606;0.0023241122
Simu_lift;0;900;0.015738871;-0.14881437;0.0006358437
Simu_lift;0;1000;0.017241577;-0.1483882;-0.0014854964
Simu_lift;0;1100;0.018472098;-0.1480948;-0.0028493972
Simu_lift;0;1200;0.019198947;-0.14788827;-0.0024326541
Simu_lift;0;1300;0.020241208;-0.14773548;-0.0001499675
Simu_lift;0;1400;0.02045573;-0.14763193;0.0028358062
Simu_lift;0;1500;0.02134825;-0.14757606;0.0046451734
Simu_lift;0;1600;0.02199358;-0.14754106;0.0038707836
Simu_lift;0;1700;0.022681197;-0.14750661;0.000675916
Simu_lift;0;1800;0.023636393;-0.14749077;-0.0030285604
Simu_lift;0;1900;0.024067264;-0.14750347;-0.004639174
Simu_lift;0;2000;0.023987563;-0.147516;-0.0026302454
Simu_lift;0;2100;0.023337336;-0.14753035;0.002125416
Simu_lift;0;2200;0.024521966;-0.14759384;0.0065443376
Simu_lift;0;2300;0.024397338;-0.14769104;0.0072060414
Simu_lift;0;2400;0.024270795;-0.14775957;0.002889773
Simu_lift;0;2500;0.025361393;-0.14784339;-0.0040189815
Simu_lift;0;2600;0.024106981;-0.14802012;-0.008566769
Simu_lift;0;2700;0.024364019;-0.14821263;-0.0065707727
Simu_lift;0;2800;0.024481753;-0.14837521;0.0017742336
Simu_lift;0;2900;0.023996148;-0.14867982;0.010916636
Simu_lift;0;3000;0.023480464;-0.14912573;0.013240731
Simu_lift;0;3100;0.021881105;-0.14943227;0.0052392543
Simu_lift;0;3200;0.020394655;-0.14971621;-0.008294081
Simu_lift;0;3300;0.01988452;-0.15031794;-0.016416432
Simu_lift;0;3400;0.020025767;-0.15083535;-0.010715649
Simu_lift;0;3500;0.018061927;-0.15103376;0.0061581
Simu_lift;0;3600;0.01775937;-0.15167105;0.0206555
Simu_lift;0;3700;0.017051706;-0.15245256;0.01911039
Simu_lift;0;3800;0.016039718;-0.15247099;0.00072717294
Simu_lift;0;3900;0.015857242;-0.15283518;-0.019861737
Simu_lift;0;4000;0.015367607;-0.15385637;-0.023948237
Simu_lift;0;4100;0.014650786;-0.15383579;-0.0060671642
Simu_lift;0;4200;0.014767194;-0.15380618;0.019698488
Simu_lift;0;4300;0.01434175;-0.15502515;0.030684669
Simu_lift;0;4400;0.013767193;-0.15517065;0.015728703
Simu_lift;0;4500;0.013267176;-0.15459682;-0.013849218
Simu_lift;0;4600;0.013162493;-0.15581773;-0.032579795
Simu_lift;0;4700;0.0128191;-0.15641432;-0.022816885
Simu_lift;0;4800;0.013346672;-0.1554029;0.008433516
Simu_lift;0;4900;0.013457287;-0.15631816;0.03495807
Simu_lift;0;5000;0.013188606;-0.15754364;0.032936703
Simu_lift;0;5100;0.013045284;-0.15631194;0.0027241826
Simu_lift;0;5200;0.012579498;-0.15654126;-0.030869113
Simu_lift;0;5300;0.012743258;-0.15837528;-0.038251214
Simu_lift;0;5400;0.011919269;-0.15741485;-0.0120863635
Simu_lift;0;5500;0.01241805;-0.15673469;0.026320016
Simu_lift;0;5600;0.012774479;-0.15881702;0.044187043
Simu_lift;0;5700;0.011872387;-0.15859282;0.025354926
Simu_lift;0;5800;0.012005017;-0.15699835;-0.015189668
Simu_lift;0;5900;0.012304871;-0.15880848;-0.043282058
Simu_lift;0;6000;0.011535549;-0.15966022;-0.03409767
Simu_lift;0;6100;0.011883858;-0.15760572;0.004932284
Simu_lift;0;6200;0.012247174;-0.15851884;0.041540056
Simu_lift;0;6300;0.011346126;-0.16040011;0.044161484
Simu_lift;0;6400;0.01124013;-0.15846679;0.0101510165
Simu_lift;0;6500;0.011777009;-0.15811734;-0.032615352
Simu_lift;0;6600;0.010771232;-0.16062643;-0.04745416
Simu_lift;0;6700;0.011186112;-0.15955366;-0.021575527
