Episode;AvgDrag;AvgLift;AvgRecircArea
1;-0.16052572429180145;-0.02444741688668728;0.010847656987607479
2;-0.160329562112689;0.0007639705142137245;0.011037750286515801
3;-0.16033269757032395;0.0006545610134198796;0.011059162150602788
4;-0.16035399505496026;0.000624083118942508;0.011051160589326174
5;-0.16038750371336938;0.0007561264404182566;0.011032909902743995
6;-0.16041682686656714;0.0009627462991884386;0.011026827255729586
7;-0.160435879021883;0.0010727073220368766;0.011021993665490299
8;-0.16045778796076773;0.0010302936838834285;0.011014954924583435
9;-0.1604439877346158;0.0009329794414561547;0.011016409053932875
10;-0.1603930674418807;0.0010665730125328991;0.011034242289606483
11;-0.16034801132231952;0.0009657007633250032;0.01104825739050284
12;-0.16031472689658405;0.0006313106675552262;0.011062901715748013
13;-0.1603050604313612;0.0001587200850408408;0.011067305706441403
14;-0.16030749255418777;-2.8830622035457055e-05;0.011069668186828495
15;-0.1603119649812579;-0.00018691914787717678;0.011067060946021228
16;-0.1602935352101922;-0.0003495387610164471;0.011081233897712081
17;-0.16027250295132398;-0.00027884664640259873;0.011087980185169726
